ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
eki-chicha,yab,ëkï,,chicha,,,,
womi-enter,yab,womï,,enter,,,,
ta-like,yab,ta,,like,,,,
nwa-thus,yab,nwa,,thus,,,,
ejka-right,yab,ëjka,,right,,,,
sakunkai-s,yab,sakunkai,,S.,,,,
i-put,yab,i,,put,,,,
kij-ugh,yab,kïj,,ugh,,,,
ajaja-hahaha,yab,ajaja,,hahaha,,,,
peremeki-talk,yab,përemekï,,talk,,,,
narepe-part,yab,narëpe,,PART,Rhetorical question?,,,
pare-also,yab,parë,,also,,,,
sa-eval,yab,sa,,EVAL,,,,
yekerema-boast-sexually,yab,yekerema,,boast sexually,,,,
sukuri-silently,yab,sukuri,,silently,,,,
yare-alone,yab,yarë,,alone,,,,
mmm-yes,yab,mmm,,yes,,,,
wera-like,yab,wëra,,like,,,,
po-loc,yab,po,,LOC,,,,
tewijna-there-ana,yab,tëwïjna,,there.ANA,Potentially morphologically complex; related to [mp](tewi-3pro)?,,,
kwa-how,yab,kwa,,how,,,,
meki-3-anim-dist,yab,mëkï,,3.ANIM.DIST,,,,
ese-name,yab,ese,,name,,,,
me-pol,yab,me,,POL,Politeness?,,,
awata-surp,yab,awata,,SURP,'dunno’,,,
se-eval,yab,se,,EVAL,,,,
empami-learn,yab,ëmpamï,,learn,,,,
yakucho-p-a,yab,yakucho,,P. A.,,,,
pedrito-p,yab,pedrito,,P.,,,,
kuruj-k,yab,kuruj,,K.,,,,
akino-younger-brother,yab,akino,,younger brother,,,,
eee-hey,yab,eee,,hey,,,,
pajarito-p,yab,pajarito,,P.,,,,
yakara-believe,yab,yakara,,believe,,,,
tamanaku-t,yab,tamanaku,,T.,,,,
irario-h,yab,irario,,H.,,,,
miro-m,yab,mïro,,M.,,,,
pupuri-bactris-gasipaes,yab,pupuri,,Bactris gasipaes,,,,
pijiguao-bactris-gasipaes,yab,pijiguao,,Bactris gasipaes,,,,
awo-uncle,yab,awo,,uncle; father in law,,,,kinship
ejwe-hammock,yab,ejwe,,hammock,,,,
yakete-cut,yab,yakëtë,,cut,,,,
enrike-e,yab,enrike,,E.,,,,
kayupare-k,yab,kayupare,,K.,,,,
parangana-pot,yab,parangana,,pot,Spanish loan.,,,
tampa-become-angry,yab,tampa,,become angry,,,,
nanka-find,yab,nanka,,find,,,,
akono-younger-sister-of-woman,yab,akono,,younger sister of woman,,,,
kano-c,yab,kaño,,C.,,,,
chiwapure-c,yab,chiwapure,,C.,,,,
nwa-glute,yab,nwa,,glute,,,,
ejne-below,yab,ëjnë,,below,,,,
neto-n,yab,neto,,N.,,,,
erepunu-sick,yab,erepunu,,sick,,,,
antonio-a,yab,antonio,,A.,,,,
sarampion-measles,yab,sarampion,,measles,Spanish loan.,,,
pini-neg,yab,pïni,,NEG,,,,
santo-s,yab,santo,,S.,,,,
melicio-m,yab,melicio,,M.,,,,
joti-hoti,yab,joti,,hoti,,,,
akere-relative,yab,akërë,,relative,,,,
kawaratu-k,yab,kawaratu,,K.,,,,
u-starchy-food,yab,u,,starchy food,,,,
wintika-disappear,yab,wintika,,disappear,,,,
javier-j,yab,javier,,J.,,,,
wanita-j,yab,wanita,,J.,,,,
sawankuwi-die,yab,sawankuwi,,die,,,,
yawarana-yawarana,yab,yawarana,,Yawarana,,,,
kukurito-k,yab,kukurito,,K.,,,,
wine-from,yab,winë,,from,,,,
kunawo-brother-in-law,yab,kuñawo,,brother in law,Spanish loan.,,,
yamuwati-y,yab,yamuwati,,Y.,,,,
merisiyo-m,yab,merisiyo,,M.,,,,
