ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
yatum-day,yab,yatum,yatunu-day,day; sun,yatum,j a t u m,,,n
yatun-day,yab,yatun,yatunu-day,day; sun,yatun,j a t u n,,,n
yate-loc,yab,yatë,yate-loc,LOC,yatë,j a t ə,,,postp
yawaka-sow,yab,yawaka,yawaka-sow,sow,yawaka,j a w a k a,,,vt
yawaki-grate,yab,yawakï,yawaki-grate,grate,yawakï,j a w a k ɨ,,,vt
yawaj-grate,yab,yawaj,yawaki-grate,grate,yawaj,j a w a h,,,vt
yawanka-kill,yab,yawanka,yawanka-kill,kill,yawanka,j a w a n k a,,,vt
yaye-loc,yab,yaye,yaye-loc,LOC,yaye,j a j e,,,postp
yemekunu-five,yab,yemekunu,yemekunu-five,five,yemekunu,j e m e k u n u,,,n
yeme-eat-fruits-eggs-soup,yab,yeme,yeme-eat-fruits-eggs-soup,"eat (fruits, eggs, soup)",yeme,j e m e,,,vt
yenepe-send-away,yab,yenepe,yenepe-send-away,send away,yenepe,j e n e p e,,,vt
yepema-pay,yab,yepema,yepema-pay,pay,yepema,j e p e m a,Potentially derived with [mp](macaus).,,vt
yojma-mix,yab,yojma,yojma-mix,mix,yojma,j o h m a,Maybe from [mp](oki-chicha) and [mp](macaus)?,,vt
yojte-fish-with-hook,yab,yojtë,yojte-fish-with-hook,fish with hook,yojtë,j o h t ə,,,vt
yoko-pimple,yab,yoko,yoko-pimple,pimple,yoko,j o k o,,,n
yoki-eat-starch,yab,yokï,yoki-eat-starch,eat (starch),yokï,j o k ɨ,,,vt
yoj-eat-starch,yab,yoj,yoki-eat-starch,eat (starch),yoj,j o h,,,vt
yopo-find,yab,yopo,yopo-find,find,yopo,j o p o,,,vt
yujwa-burn,yab,yujwa,yujwa-burn,burn,yujwa,j u h w a,,,vt
yumpe-fairly,yab,yumpe,yumpe-fairly,fairly; much,yumpe,j u m p e,,,adv
yutu-forest,yab,yutu,yutu-forest,forest,yutu,j u t u,,,n
ye-tooth,yab,yë,ye-tooth,tooth,yë,j ə,,,n
ye-tooth-1,yab,ye,ye-tooth,tooth,ye,j e,,,n
yejpe-bone,yab,yëjpë,yejpe-bone,bone,yëjpë,j ə h p ə,,,n
yempeka-offend,yab,yëmpëka,yempeka-offend,offend,yëmpëka,j ə m p ə k a,,,vt
yeni-drink,yab,yëni,yeni-drink,drink,yëni,j ə n i,,,vt
yeni-drink-1,yab,yeni,yeni-drink,drink,yeni,j e n i,,,vt
yen-drink,yab,yën,yeni-drink,drink,yën,j ə n,,,vt
yeni-drink-2,yab,yënï,yeni-drink,drink,yënï,j ə n ɨ,,,vt
yene-eat-meat,yab,yënë,yene-eat-meat,eat (meat),yënë,j ə n ə,,,vt
yewuku-answer,yab,yëwuku,yewuku-answer,answer,yëwuku,j ə w u k u,,,vt
yeye-tree,yab,yëye,yeye-tree,tree,yëye,j ə j e,,,n
yipi-mountain,yab,yïpï,yipi-mountain,mountain,yïpï,j ɨ p ɨ,,,n
ejpina-often,yab,ëjpïna,ejpina-often,often,ëjpïna,ə h p ɨ n a,,,adv
ekere-jaguar,yab,ëkërë,ekere-jaguar,jaguar,ëkërë,ə k ə r ə,,,n
empare-already,yab,ëmpare,empare-already,already,ëmpare,ə m p a r e,,,adv
impare-already,yab,ïmparë,empare-already,already,ïmparë,ɨ m p a r ə,,,adv
enuku-go-up,yab,ënuku,enuku-go-up,go up,ënuku,ə n u k u,,,vi
enuj-go-up,yab,ënuj,enuku-go-up,go up,ënuj,ə n u h,,,vi
erine-cooking-pot,yab,ërinë,erine-cooking-pot,cooking pot,ërinë,ə r i n ə,,,n
etipa-go-in-group,yab,ëtïpa,etipa-go-in-group,go in group,ëtïpa,ə t ɨ p a,,,vi
tipa-go-in-group,yab,tipa,etipa-go-in-group,go in group,tipa,t i p a,,,vi
ya-erg,yab,ya,ya-erg,ERG,ya,j a,,,postp
ya-obl,yab,ya,ya-obl,OBL,ya,j a,,,postp
yawe-loc,yab,yawë,yawe-loc,LOC,yawë,j a w ə,,,postp
yawo-loc,yab,yawo,yawe-loc,LOC,yawo,j a w o,,,postp
chawe-loc,yab,chawë,yawe-loc,LOC,chawë,t͡ʃ a w ə,,,postp
